     51     61 10.000 50.000
 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000 10.000
  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800  9.800
  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600  9.600
  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400  9.400
  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200  9.200
  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000  9.000
  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800  8.800
  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600  8.600
  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400  8.400
  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200  8.200
  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000  8.000
  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800  7.800
