   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499   1.499
   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500   1.500
   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.501   1.502   1.502   1.502   1.502   1.502   1.502   1.502   1.502
   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503   1.503
   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504   1.504
   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.505   1.506   1.506   1.506   1.506   1.506   1.506   1.506   1.506   1.506   1.506   1.506
   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507   1.507
   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509   1.509
   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511   1.511
   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513   1.513
