   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.931   9.930   9.930   9.930   9.930   9.930   9.930   9.930
   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.865   9.864   9.864   9.864   9.864   9.864   9.864   9.864   9.864   9.864   9.864   9.864
   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.797   9.796   9.796   9.796   9.796   9.796   9.796   9.796   9.796   9.796
   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.728   9.727   9.727   9.727   9.727   9.727   9.727   9.727   9.726   9.726   9.726   9.726   9.726   9.726
   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.657   9.656   9.656   9.656   9.656   9.656   9.655   9.655   9.655   9.655   9.655   9.655   9.655
   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.584   9.583   9.583   9.583   9.583   9.582   9.582   9.582   9.582   9.582   9.582
   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.510   9.509   9.509   9.509   9.509   9.508   9.508   9.508   9.508   9.507   9.507   9.507   9.507   9.507
   9.434   9.434   9.433   9.434   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.433   9.432   9.432   9.432   9.431   9.431   9.431   9.431   9.431   9.431   9.431
   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.355   9.354   9.354   9.354   9.353   9.353   9.353   9.353   9.352   9.352   9.352   9.352
   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.275   9.274   9.274   9.273   9.273   9.273   9.272   9.272   9.272   9.272   9.272   9.272
   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.193   9.192   9.192   9.192   9.191   9.191   9.190   9.190   9.190   9.190   9.190   9.190   9.190
   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.109   9.108   9.108   9.108   9.108   9.107   9.107   9.106   9.106   9.106   9.105   9.105   9.105   9.105   9.105
   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.023   9.022   9.022   9.022   9.022   9.022   9.022   9.022   9.021   9.021   9.021   9.020   9.020   9.019   9.019   9.019   9.019   9.019   9.019   9.019
   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.934   8.933   8.933   8.933   8.932   8.932   8.931   8.931   8.931   8.930   8.930   8.930   8.930   8.930   8.930
   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.843   8.842   8.842   8.842   8.841   8.841   8.840   8.840   8.839   8.839   8.839   8.839   8.839   8.839   8.839
   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.750   8.749   8.749   8.749   8.749   8.748   8.748   8.748   8.747   8.746   8.746   8.746   8.745   8.745   8.745   8.745   8.745
   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.654   8.653   8.653   8.653   8.653   8.652   8.652   8.651   8.651   8.650   8.650   8.649   8.649   8.649   8.649   8.649
   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.556   8.555   8.555   8.555   8.555   8.555   8.554   8.554   8.554   8.553   8.553   8.552   8.552   8.551   8.551   8.551   8.551   8.551   8.551
   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.455   8.454   8.454   8.454   8.454   8.453   8.453   8.453   8.452   8.452   8.451   8.451   8.450   8.450   8.450   8.450   8.450   8.450
   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.351   8.350   8.350   8.350   8.350   8.349   8.349   8.348   8.348   8.347   8.347   8.346   8.346   8.346   8.346   8.346   8.346
   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.245   8.244   8.244   8.244   8.244   8.244   8.243   8.243   8.243   8.242   8.242   8.241   8.241   8.240   8.240   8.239   8.239   8.239   8.239   8.239
   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.136   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.135   8.134   8.134   8.134   8.134   8.133   8.133   8.132   8.132   8.131   8.130   8.130   8.130   8.130   8.129   8.129   8.129
   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.023   8.022   8.022   8.022   8.022   8.022   8.021   8.021   8.021   8.020   8.020   8.019   8.018   8.018   8.017   8.017   8.017   8.017   8.017   8.017
   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.907   7.906   7.906   7.906   7.906   7.905   7.905   7.904   7.904   7.903   7.903   7.902   7.902   7.901   7.901   7.901   7.901   7.901
   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.789   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.788   7.787   7.787   7.787   7.787   7.786   7.786   7.785   7.785   7.784   7.784   7.783   7.782   7.782   7.782   7.782   7.782   7.782
   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.666   7.665   7.665   7.665   7.665   7.665   7.664   7.664   7.664   7.663   7.663   7.662   7.662   7.661   7.660   7.660   7.660   7.659   7.659   7.659   7.659
